handle,layer,dxftype,shape_class,n_vertices,is_convex,convex_fill,area_in2,perim_in,circularity,bbox_w_in,bbox_h_in,mrr_w_in,mrr_h_in,current_label,proposed_label,changed,anomalies
1694,COLS,LWPOLYLINE,rect,4,True,1.0,792.0,124.0,0.6473,18.0,44.0,18.0,44.0,18x44,18x44,False,
1695,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
1696,COLS,LWPOLYLINE,triangle,3,True,1.0,102.86,64.29,0.3127,8.97,28.88,7.35,28.0,7x28,tri7x28,True,n=3
1697,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,27.86,22.84,16.0,24.0,16x24,16x24,False,
1698,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
1699,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
169C,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
169D,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
16A0,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
16A1,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
16A2,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,35.49,35.49,28.0,28.0,28x28,28x28,False,
16A7,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
16A8,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
16AD,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
16AE,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
16B1,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
16C7,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
16C8,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
16C9,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16CA,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16CB,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16CC,COLS,LWPOLYLINE,rect,4,True,1.0,792.0,124.0,0.6473,44.0,18.0,18.0,44.0,18x44,18x44,False,
16CD,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
16CE,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,14.0,24.0,14.0,24.0,14x24,14x24,False,
16D1,COLS,LWPOLYLINE,hexagon,6,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,hex24x26,True,n=6
16D6,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
16D7,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,39.87,28.58,18.0,36.0,18x36,18x36,False,
16D8,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
16D9,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16DA,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16DB,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16DC,COLS,LWPOLYLINE,rect,4,True,1.0,792.0,124.0,0.6473,44.0,18.0,18.0,44.0,18x44,18x44,False,
16DD,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
16E5,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,39.87,28.58,18.0,36.0,18x36,18x36,False,
16E6,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,18.0,36.0,18.0,36.0,18x36,18x36,False,
16E8,COLS,LWPOLYLINE,rect,4,True,1.0,78.16,58.01,0.2918,3.01,26.0,3.01,26.0,3x26,3x26,False,
16EB,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,74.0,0.7711,21.0,16.0,16.0,21.0,16x21,16x21,False,
16EC,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16ED,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16EE,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
16EF,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16F0,COLS,LWPOLYLINE,rect,4,True,1.0,320.0,72.0,0.7757,20.0,16.0,16.0,20.0,16x20,16x20,False,
16F1,COLS,LWPOLYLINE,rect,4,True,1.0,489.89,93.47,0.7046,32.82,25.41,16.0,32.0,16x32,16x32,False,
16F2,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16F3,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16F4,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16F5,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,45.0,16.0,16.0,45.0,16x45,16x45,False,
16F6,COLS,LWPOLYLINE,rect,4,True,1.0,320.0,72.0,0.7757,20.0,16.0,16.0,20.0,16x20,16x20,False,
16F7,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1700,COLS,LWPOLYLINE,rect,4,True,1.0,320.0,72.0,0.7757,20.0,16.0,16.0,20.0,16x20,16x20,False,
1701,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,24.0,26.0,24.0,26.0,24x26,24x26,False,
1702,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,74.0,0.7711,25.02,21.88,16.0,21.0,16x21,16x21,False,
1703,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
1704,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
1705,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
1706,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,74.0,0.7711,21.0,16.0,16.0,21.0,16x21,16x21,False,
1707,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,30.0,21.0,21.0,30.0,21x30,21x30,False,
1708,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,116.0,0.6724,40.0,18.0,18.0,40.0,18x40,18x40,False,
1739,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
173A,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,110.0,0.6481,42.07,27.65,16.0,39.0,16x39,16x39,False,
173B,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,26.0,24.0,24.0,26.0,24x26,24x26,False,
173C,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
173F,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,30.42,30.42,24.0,24.0,24x24,24x24,False,
1742,COLS,LWPOLYLINE,rect,4,True,1.0,624.0,100.0,0.7841,32.32,31.06,24.0,26.0,24x26,24x26,False,
1743,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,24.0,22.0,22.0,24.0,22x24,22x24,False,
1744,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,29.57,47.75,16.0,45.0,16x45,16x45,False,
1745,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
1746,COLS,LWPOLYLINE,rect,4,True,1.0,864.0,120.0,0.754,34.27,41.79,24.0,36.0,24x36,24x36,False,
174B,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
174C,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
174D,COLS,LWPOLYLINE,circle,38,True,1.0,800.56,100.42,0.9977,31.97,32.0,31.9,31.95,d32,d32,False,
174E,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,47.75,29.57,16.0,45.0,16x45,16x45,False,
174F,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,47.75,29.57,16.0,45.0,16x45,16x45,False,
1750,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,29.57,47.75,16.0,45.0,16x45,16x45,False,
1751,COLS,LWPOLYLINE,rect,4,True,1.0,528.0,92.0,0.7839,24.0,22.0,22.0,24.0,22x24,22x24,False,
1752,COLS,LWPOLYLINE,rect,4,True,1.0,540.0,96.0,0.7363,26.66,34.18,18.0,30.0,18x30,18x30,False,
1753,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,29.57,47.75,16.0,45.0,16x45,16x45,False,
1754,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,47.75,29.57,16.0,45.0,16x45,16x45,False,
1755,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,29.57,47.75,16.0,45.0,16x45,16x45,False,
1756,COLS,LWPOLYLINE,rect,4,True,1.0,720.0,122.0,0.6079,47.75,29.57,16.0,45.0,16x45,16x45,False,
1760,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,24.0,16.0,16.0,24.0,16x24,16x24,False,
1761,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,25.41,35.44,16.0,32.0,16x32,16x32,False,
1762,COLS,LWPOLYLINE,pentagon,5,True,1.0,287.52,71.96,0.6977,26.57,19.04,11.98,24.0,12x24,pent12x24,True,n=5
1768,COLS,LWPOLYLINE,rect,4,True,1.0,384.0,80.0,0.754,22.84,27.86,16.0,24.0,16x24,16x24,False,
176B,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
176C,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
176D,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
176E,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
176F,COLS,LWPOLYLINE,rect,4,True,1.0,648.0,108.0,0.6981,36.0,18.0,18.0,36.0,18x36,18x36,False,
1770,COLS,LWPOLYLINE,rect,4,True,1.0,336.0,76.0,0.731,20.95,27.22,14.0,24.0,14x24,14x24,False,
1771,COLS,LWPOLYLINE,rect,4,True,1.0,576.0,96.0,0.7854,24.0,24.0,24.0,24.0,24x24,24x24,False,
1772,COLS,LWPOLYLINE,rect,4,True,1.0,512.0,96.0,0.6981,35.44,25.41,16.0,32.0,16x32,16x32,False,
1773,COLS,LWPOLYLINE,rect,4,True,1.0,816.0,116.0,0.7621,39.9,33.62,24.0,34.0,24x34,24x34,False,
1774,COLS,LWPOLYLINE,rect,4,True,1.0,630.0,102.0,0.7609,29.5,35.15,21.0,30.0,21x30,21x30,False,
1775,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,35.49,35.49,28.0,28.0,28x28,28x28,False,
1776,COLS,LWPOLYLINE,rect,4,True,1.0,784.0,112.0,0.7854,28.0,28.0,28.0,28.0,28x28,28x28,False,
